Sample,Sample<->Recognize,Recognize,Recognize<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.064234,0.000010,0.142378,0.000014,0.000001,0.000003,0.000001,0.206640
0.064626,0.000010,0.177069,0.000014,0.000001,0.000002,0.000001,0.241723
0.060011,0.000017,0.132466,0.000014,0.000001,0.000002,0.000001,0.192512
0.088578,0.000014,0.147661,0.000014,0.000001,0.000002,0.000001,0.236271
0.064202,0.000010,0.132950,0.000014,0.000001,0.000002,0.000001,0.197181
0.068801,0.000010,0.205140,0.000018,0.000002,0.000003,0.000002,0.273977
0.060899,0.000009,0.132895,0.000014,0.000001,0.000002,0.000001,0.193821
0.063183,0.000009,0.132880,0.000006,0.000001,0.000002,0.000001,0.196082
0.090052,0.000013,0.185447,0.000017,0.000002,0.000003,0.000002,0.275536
0.065690,0.000010,0.134663,0.000016,0.000001,0.000002,0.000001,0.200382
0.065989,0.000010,0.138711,0.000014,0.000001,0.000002,0.000001,0.204727
0.064915,0.000010,0.141024,0.000015,0.000001,0.000002,0.000001,0.205968
0.065721,0.000011,0.147330,0.000014,0.000001,0.000002,0.000001,0.213080
0.063241,0.000010,0.148357,0.000015,0.000001,0.000003,0.000001,0.211628
0.069859,0.000011,0.220299,0.000018,0.000002,0.000003,0.000002,0.290193
0.061817,0.000011,0.184155,0.000017,0.000002,0.000003,0.000002,0.246007
0.063611,0.000010,0.170160,0.000014,0.000001,0.000002,0.000001,0.233800
0.064643,0.000010,0.147551,0.000015,0.000001,0.000002,0.000001,0.212222
0.093290,0.000014,0.234800,0.000013,0.000001,0.000002,0.000001,0.328121
0.063824,0.000010,0.137722,0.000014,0.000001,0.000002,0.000001,0.201574
0.065197,0.000009,0.136986,0.000014,0.000001,0.000002,0.000001,0.202210
0.065870,0.000009,0.141985,0.000015,0.000001,0.000002,0.000001,0.207883
0.073125,0.000011,0.144382,0.000014,0.000001,0.000002,0.000001,0.217537
0.065591,0.000012,0.147468,0.000014,0.000001,0.000002,0.000001,0.213090
0.066489,0.000011,0.143598,0.000014,0.000001,0.000002,0.000001,0.210115
0.065972,0.000009,0.146146,0.000015,0.000001,0.000002,0.000001,0.212147
0.065833,0.000010,0.149065,0.000014,0.000001,0.000002,0.000001,0.214926
0.065230,0.000009,0.153510,0.000014,0.000001,0.000002,0.000001,0.218767
0.065810,0.000010,0.162164,0.000014,0.000001,0.000002,0.000001,0.228003
0.066161,0.000010,0.156964,0.000015,0.000001,0.000002,0.000001,0.223154
0.065918,0.000010,0.161129,0.000012,0.000001,0.000002,0.000001,0.227074
0.065762,0.000010,0.161097,0.000014,0.000001,0.000002,0.000001,0.226887
0.064715,0.000009,0.162894,0.000014,0.000001,0.000002,0.000001,0.227636
0.064976,0.000010,0.165799,0.000015,0.000001,0.000002,0.000001,0.230804
0.065935,0.000010,0.157114,0.000014,0.000001,0.000002,0.000001,0.223078
0.066233,0.000010,0.198288,0.000018,0.000002,0.000003,0.000002,0.264554
0.064965,0.000013,0.161092,0.000015,0.000002,0.000003,0.000001,0.226091
0.065924,0.000010,0.152465,0.000014,0.000001,0.000002,0.000001,0.218417
0.063434,0.000009,0.151694,0.000014,0.000001,0.000002,0.000001,0.215156
0.088597,0.000013,0.186819,0.000017,0.000002,0.000003,0.000001,0.275452
0.065986,0.000010,0.154060,0.000013,0.000001,0.000002,0.000001,0.220074
0.065963,0.000010,0.149175,0.000014,0.000001,0.000002,0.000001,0.215166
0.064311,0.000009,0.154956,0.000014,0.000001,0.000002,0.000001,0.219294
0.065821,0.000009,0.160545,0.000014,0.000001,0.000002,0.000001,0.226393
0.061895,0.000010,0.171124,0.000014,0.000001,0.000003,0.000001,0.233049
0.089650,0.000009,0.176083,0.000015,0.000001,0.000003,0.000001,0.265762
0.085283,0.000011,0.257089,0.000018,0.000002,0.000002,0.000002,0.342407
0.065642,0.000010,0.177796,0.000013,0.000001,0.000002,0.000001,0.243465
0.068256,0.000014,0.234950,0.000014,0.000001,0.000002,0.000001,0.303239
0.067045,0.000009,0.181610,0.000015,0.000001,0.000002,0.000001,0.248682
0.066429,0.000009,0.187941,0.000015,0.000001,0.000002,0.000001,0.254398
0.064365,0.000011,0.191730,0.000016,0.000001,0.000003,0.000001,0.256127
0.069323,0.000014,0.320180,0.000020,0.000002,0.000011,0.000002,0.389551
0.088729,0.000015,0.299557,0.000015,0.000001,0.000003,0.000001,0.388321
0.068607,0.000012,0.286961,0.000015,0.000001,0.000002,0.000001,0.355597
0.062573,0.000010,0.200198,0.000016,0.000001,0.000002,0.000001,0.262800
0.064840,0.000009,0.211450,0.000016,0.000001,0.000003,0.000001,0.276320
0.066467,0.000009,0.198145,0.000015,0.000001,0.000002,0.000001,0.264640
0.093128,0.000013,0.329176,0.000019,0.000002,0.000005,0.000002,0.422344
0.064685,0.000011,0.235512,0.000018,0.000243,0.000012,0.000002,0.300483
0.070465,0.000015,0.365529,0.000017,0.000195,0.000015,0.000002,0.436239
0.086649,0.000009,0.319448,0.000016,0.000136,0.000013,0.000002,0.406274
0.067050,0.000011,0.252773,0.000016,0.000143,0.000012,0.000002,0.320006
0.079683,0.000015,0.338716,0.000013,0.000143,0.000010,0.000001,0.418581
0.066348,0.000009,0.226059,0.000015,0.000132,0.000013,0.000002,0.292577
0.067275,0.000010,0.264723,0.000020,0.000147,0.000010,0.000001,0.332187
0.065876,0.000009,0.228203,0.000015,0.000188,0.000016,0.000002,0.294309
0.065719,0.000010,0.317934,0.000020,0.000221,0.000015,0.000002,0.383920
0.093604,0.000022,0.345279,0.000019,0.000203,0.000008,0.000001,0.439136
0.076862,0.000012,0.294653,0.000019,0.000226,0.000013,0.000002,0.371787
0.065756,0.000010,0.320742,0.000019,0.000643,0.000099,0.000002,0.387271
0.069239,0.000009,0.310119,0.000017,0.000249,0.000014,0.000002,0.379649
0.066020,0.000014,0.364251,0.000020,0.000629,0.000018,0.000002,0.430953
0.091056,0.000014,0.267407,0.000018,0.000206,0.000009,0.000002,0.358711
0.088661,0.000015,0.370166,0.000019,0.000614,0.000019,0.000002,0.459495
0.088249,0.000014,0.419367,0.000020,0.000268,0.000017,0.000002,0.507937
0.089693,0.000015,0.412190,0.000017,0.000169,0.000008,0.000002,0.502093
