Sample,Sample<->Extractor,Extractor,Extractor<->Lookup,Lookup,Total
0.067994,6.917390,0.281513,0.003692,0.000072,7.270661
0.066542,6.987938,0.091256,0.004164,0.000068,7.149968
0.081407,6.963840,0.090087,0.003493,0.000045,7.138872
0.062396,6.962378,0.211363,0.006266,0.000039,7.242443
0.074639,6.934562,0.294526,0.011606,0.000097,7.315430
0.074846,7.027542,0.084330,0.002591,0.000034,7.189342
0.066666,7.021492,0.080594,0.002525,0.000045,7.171322
0.078994,6.965789,0.300402,0.004721,0.000036,7.349943
0.056116,7.039666,0.200336,0.005670,0.000399,7.302188
0.085228,7.050649,0.081873,0.001572,0.000051,7.219373
0.082003,6.990770,0.245249,0.002717,0.000049,7.320789
0.071733,7.048219,0.084527,0.002620,0.000048,7.207147
0.077183,7.055470,0.181308,0.001674,0.000040,7.315675
0.083672,7.053373,0.087195,0.003114,0.000051,7.227406
0.088113,7.024322,0.258758,0.001764,0.000042,7.373000
0.064142,7.090515,0.090124,0.003834,0.000052,7.248667
0.060258,7.054123,0.281453,0.002769,0.000034,7.398637
0.069240,7.113707,0.087410,0.003952,0.000036,7.274345
0.066206,7.114306,0.203089,0.003113,0.000052,7.386765
0.061106,7.140751,0.089705,0.003533,0.000038,7.295133
0.067593,7.071142,0.285769,0.003805,0.000081,7.428391
0.096803,7.126925,0.087427,0.003914,0.000067,7.315137
0.092868,7.095896,0.218205,0.003100,0.000032,7.410102
0.063385,7.134637,0.311528,0.003263,0.000034,7.512846
0.061870,7.181989,0.117275,0.012066,0.000056,7.373256
0.061429,7.215154,0.087195,0.003835,0.000047,7.367660
0.078201,7.141065,0.248978,0.003555,0.000033,7.471832
0.061579,7.210565,0.252099,0.009262,0.000041,7.533546
0.063731,7.234932,0.114083,0.003215,0.021359,7.437320
0.062725,7.279160,0.091979,0.006644,0.000067,7.440574
0.079699,7.193435,0.232869,0.003667,0.000031,7.509701
0.062291,7.211867,0.323347,0.003144,0.015476,7.616124
0.081169,7.291261,0.117199,0.004782,0.000065,7.494476
0.090591,7.297643,0.118262,0.011228,0.000057,7.517781
0.088221,7.236030,0.328145,0.006301,0.015006,7.673703
0.064821,7.305332,0.245380,0.004351,0.000060,7.619944
0.085222,7.277657,0.339434,0.004435,0.000050,7.706797
0.072227,7.398310,0.185588,0.004273,0.000037,7.660435
0.062096,7.472279,0.073263,0.001073,0.000055,7.608766
0.067240,7.382815,0.221073,0.002440,0.000034,7.673602
0.072576,7.380348,0.278406,0.003818,0.000036,7.735184
0.070897,7.472062,0.072510,0.000802,0.000067,7.616339
0.070655,7.442416,0.073340,0.000943,0.000060,7.587415
0.077448,7.453489,0.221609,0.001214,0.000035,7.753795
0.061990,7.491806,0.073541,0.007311,0.000037,7.634685
0.080036,7.453431,0.170142,0.008158,0.000053,7.711820
